model,mitigation,bias_type,stereotype_score,delta_stereotype_score,mean_pll_delta,n_pairs
gpt2,baseline,age,0.0,0.0,-1.2184,1
gpt2,baseline,disability,75.0,0.0,1.7192,4
gpt2,baseline,gender,45.45,0.0,-2.3031,11
gpt2,baseline,nationality,50.0,0.0,-0.7694,4
gpt2,baseline,physical-appearance,66.67,0.0,2.1573,6
gpt2,baseline,race-color,33.33,0.0,-2.1133,15
gpt2,baseline,religion,50.0,0.0,3.318,2
gpt2,baseline,sexual-orientation,100.0,0.0,9.0246,2
gpt2,baseline,socioeconomic,80.0,0.0,2.2111,5
gpt2,baseline,ALL,52.0,0.0,-0.1154,50
gpt2,steering,age,0.0,0.0,-1.2367,1
gpt2,steering,disability,75.0,0.0,1.7624,4
gpt2,steering,gender,36.36,-9.09,-2.2201,11
gpt2,steering,nationality,50.0,0.0,-0.7622,4
gpt2,steering,physical-appearance,66.67,0.0,2.1479,6
gpt2,steering,race-color,33.33,0.0,-2.0783,15
gpt2,steering,religion,50.0,0.0,3.3718,2
gpt2,steering,sexual-orientation,100.0,0.0,8.9197,2
gpt2,steering,socioeconomic,80.0,0.0,2.3505,5
gpt2,steering,ALL,50.0,-2.0,-0.0722,50
gpt2,inlp,age,0.0,0.0,-0.7049,1
gpt2,inlp,disability,75.0,0.0,1.4678,4
gpt2,inlp,gender,9.09,-36.36,-2.3513,11
gpt2,inlp,nationality,25.0,-25.0,-0.626,4
gpt2,inlp,physical-appearance,83.33,16.66,1.4631,6
gpt2,inlp,race-color,33.33,0.0,-2.2104,15
gpt2,inlp,religion,50.0,0.0,2.3992,2
gpt2,inlp,sexual-orientation,100.0,0.0,11.4485,2
gpt2,inlp,socioeconomic,60.0,-20.0,1.8148,5
gpt2,inlp,ALL,42.0,-10.0,-0.2162,50
